Location Name,Customer Name,Ship To Name,Part Name,PO Number,Job Number,OEM Number,Customer Part Number,Received Date,Kitting Boxing Date,Job Status Code,Work Order Status,Job Status,Barcode,CycleCount,Serial Number,Parameter,DC_Status,Lower Limit,Measurement MIN,Measurement MAX,Measurement AVG,Upper Limit,DMR ID,Tag,DMR Opened Date,DMR Closed Date,DMR Problem Description,DMR Problem Details,DMR Resolution Category,DMR Resolution Details,Customer ID,Historical Cycle Count,Kit Number,Measurement Count,Measurement Total,Normalize Statistics,PF Created Date,PF last updated date,Process Flow ID,PS Cycle Count,Ship to Customer,Work Order Status ID,WP Customer Part Number,WP Part ID
Location 2,,,Part 1,,,,,1/15/2019 12:08:01 PM,1/28/2019 5:24:24 PM,,,,,31,SN04,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.646,17.646,17.646,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,1/15/2019 12:08:01 PM,1/28/2019 5:24:24 PM,,,,,31,SN04,CDI - Upper Lip Radial Thickness,Pass,0.326,0.334,0.334,0.334,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,1/15/2019 12:08:01 PM,1/28/2019 5:24:24 PM,,,,,31,SN04,CDI - Avg Wall Cell Thickness,Pass,0.126,0.126,0.126,0.126,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,1/15/2019 12:08:01 PM,1/28/2019 5:24:24 PM,,,,,31,SN04,CDI - Distance,Pass,0.572,0.592,0.592,0.592,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,1/15/2019 12:08:01 PM,1/28/2019 5:24:24 PM,,,,,31,SN04,Surface Roughness- Post Blast,Pass,200,234,295,272,300,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,1/15/2019 12:08:01 PM,1/28/2019 5:24:24 PM,,,,,31,SN04,Inner Cells,Pass,0,200,218,209,1000,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,1/15/2019 12:08:01 PM,1/28/2019 5:24:24 PM,,,,,31,SN04,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,2/18/2019 3:51:59 PM,2/25/2019 6:28:20 PM,,,,,32,SN04,Incoming Weight,Pass,15,31.4,31.4,31.4,50,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,2/18/2019 3:51:59 PM,2/25/2019 6:28:20 PM,,,,,32,SN04,Post Strip Weight,Pass,15,18,18,18,50,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,2/18/2019 3:51:59 PM,2/25/2019 6:28:20 PM,,,,,32,SN04,CDI - Flatness,Pass,0,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,2/18/2019 3:51:59 PM,2/25/2019 6:28:20 PM,,,,,32,SN04,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.647,17.647,17.647,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,2/18/2019 3:51:59 PM,2/25/2019 6:28:20 PM,,,,,32,SN04,CDI - Upper Lip Radial Thickness,Pass,0.326,0.333,0.333,0.333,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,2/18/2019 3:51:59 PM,2/25/2019 6:28:20 PM,,,,,32,SN04,CDI - Avg Wall Cell Thickness,Pass,0.126,0.127,0.127,0.127,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,2/18/2019 3:51:59 PM,2/25/2019 6:28:20 PM,,,,,32,SN04,CDI - Distance,Pass,0.572,0.592,0.592,0.592,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,2/18/2019 3:51:59 PM,2/25/2019 6:28:20 PM,,,,,32,SN04,Surface Roughness- Post Blast,Pass,200,287,300,294.25,300,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,2/18/2019 3:51:59 PM,2/25/2019 6:28:20 PM,,,,,32,SN04,Inner Cells,Pass,0,258,400,308.5,1000,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,2/18/2019 3:51:59 PM,2/25/2019 6:28:20 PM,,,,,32,SN04,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,3/20/2019 11:49:56 AM,3/28/2019 2:39:03 AM,,,,,33,SN04,Incoming Weight,Pass,15,30,30,30,50,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,3/20/2019 11:49:56 AM,3/28/2019 2:39:03 AM,,,,,33,SN04,Post Strip Weight,Pass,15,18,18,18,50,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,3/20/2019 11:49:56 AM,3/28/2019 2:39:03 AM,,,,,33,SN04,CDI - Flatness,Pass,0,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,3/20/2019 11:49:56 AM,3/28/2019 2:39:03 AM,,,,,33,SN04,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.647,17.647,17.647,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,3/20/2019 11:49:56 AM,3/28/2019 2:39:03 AM,,,,,33,SN04,CDI - Upper Lip Radial Thickness,Pass,0.326,0.333,0.333,0.333,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,3/20/2019 11:49:56 AM,3/28/2019 2:39:03 AM,,,,,33,SN04,CDI - Avg Wall Cell Thickness,Pass,0.126,0.128,0.128,0.128,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,3/20/2019 11:49:56 AM,3/28/2019 2:39:03 AM,,,,,33,SN04,CDI - Distance,Pass,0.572,0.592,0.592,0.592,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,3/20/2019 11:49:56 AM,3/28/2019 2:39:03 AM,,,,,33,SN04,Surface Roughness- Post Blast,Pass,200,279,304,291.5,300,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,3/20/2019 11:49:56 AM,3/28/2019 2:39:03 AM,,,,,33,SN04,Inner Cells,Pass,0,370,687,514.8333333,1000,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,3/20/2019 11:49:56 AM,3/28/2019 2:39:03 AM,,,,,33,SN04,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,04/09/2019,4/16/2019 10:21:46 PM,,,,,34,SN04,Incoming Weight,Pass,15,27.4,27.4,27.4,50,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,04/09/2019,4/16/2019 10:21:46 PM,,,,,34,SN04,Post Strip Weight,Pass,15,17.2,17.2,17.2,50,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,04/09/2019,4/16/2019 10:21:46 PM,,,,,34,SN04,CDI - Flatness,Pass,0,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,04/09/2019,4/16/2019 10:21:46 PM,,,,,34,SN04,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.648,17.648,17.648,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,04/09/2019,4/16/2019 10:21:46 PM,,,,,34,SN04,CDI - Upper Lip Radial Thickness,Pass,0.326,0.332,0.332,0.332,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,04/09/2019,4/16/2019 10:21:46 PM,,,,,34,SN04,CDI - Avg Wall Cell Thickness,Pass,0.126,0.128,0.128,0.128,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,04/09/2019,4/16/2019 10:21:46 PM,,,,,34,SN04,CDI - Distance,Pass,0.572,0.592,0.592,0.592,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,04/09/2019,4/16/2019 10:21:46 PM,,,,,34,SN04,Surface Roughness- Post Blast,Pass,200,243,300,280.75,300,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,04/09/2019,4/16/2019 10:21:46 PM,,,,,34,SN04,Inner Cells,Pass,0,222,497,338.5,1000,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,04/09/2019,4/16/2019 10:21:46 PM,,,,,34,SN04,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/07/2019,5/13/2019 ,,,,,35,SN04,Incoming Weight,Pass,15,30.6,30.6,30.6,50,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/07/2019,5/13/2019 ,,,,,35,SN04,Post Strip Weight,Pass,15,17.6,17.6,17.6,50,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/07/2019,5/13/2019 ,,,,,35,SN04,CDI - Flatness,Pass,0,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/07/2019,5/13/2019 ,,,,,35,SN04,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.648,17.648,17.648,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/07/2019,5/13/2019 ,,,,,35,SN04,CDI - Upper Lip Radial Thickness,Pass,0.326,0.332,0.332,0.332,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/07/2019,5/13/2019 ,,,,,35,SN04,CDI - Avg Wall Cell Thickness,Pass,0.126,0.127,0.127,0.127,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/07/2019,5/13/2019 ,,,,,35,SN04,CDI - Distance,Pass,0.572,0.591,0.591,0.591,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/07/2019,5/13/2019 ,,,,,35,SN04,Surface Roughness- Post Blast,Pass,200,278,300,291.5,300,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/07/2019,5/13/2019 ,,,,,35,SN04,Inner Cells,Pass,0,545.6,673.4,601.3666667,1000,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,05/07/2019,5/13/2019 ,,,,,35,SN04,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,6/26/2019 12:19:07 PM,05/07/2019,,,,,36,SN04,Incoming Weight,Pass,15,26.2,26.2,26.2,50,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,6/26/2019 12:19:07 PM,05/07/2019,,,,,36,SN04,Post Strip Weight,Pass,15,17.9,17.9,17.9,50,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,6/26/2019 12:19:07 PM,05/07/2019,,,,,36,SN04,CDI - Flatness,Pass,0,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,6/26/2019 12:19:07 PM,05/07/2019,,,,,36,SN04,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.649,17.649,17.649,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,6/26/2019 12:19:07 PM,05/07/2019,,,,,36,SN04,CDI - Upper Lip Radial Thickness,Pass,0.326,0.331,0.331,0.331,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,6/26/2019 12:19:07 PM,05/07/2019,,,,,36,SN04,CDI - Avg Wall Cell Thickness,Pass,0.126,0.126,0.126,0.126,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 2,,,Part 1,,,,,6/26/2019 12:19:07 PM,05/07/2019,,,,,36,SN04,CDI - Distance,Pass,0.572,0.592,0.592,0.592,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,01/08/2015,1/28/2015 12:04:22 PM,,,,,1,SN05,Incoming Weight,Pass,15,30,30,30,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,01/08/2015,1/28/2015 12:04:22 PM,,,,,1,SN05,Post Strip Weight,Pass,15,19,19,19,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,01/08/2015,1/28/2015 12:04:22 PM,,,,,1,SN05,CDI - Flatness,Pass,0,0.001,0.001,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,01/08/2015,1/28/2015 12:04:22 PM,,,,,1,SN05,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.632,17.632,17.632,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,01/08/2015,1/28/2015 12:04:22 PM,,,,,1,SN05,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3453,0.3453,0.3453,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,01/08/2015,1/28/2015 12:04:22 PM,,,,,1,SN05,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1357,0.1357,0.1357,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,01/08/2015,1/28/2015 12:04:22 PM,,,,,1,SN05,CDI - Miscellaneous- Distance,Pass,0.572,0.582,0.582,0.582,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,01/08/2015,1/28/2015 12:04:22 PM,,,,,1,SN05,Surface Roughness- Post Blast,Pass,200,239.5,252.9,245.8,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,01/08/2015,1/28/2015 12:04:22 PM,,,,,1,SN05,Inner Honey Comb Ra (L1 - L6),Pass,0,63.7,118.9,96.7,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,01/08/2015,1/28/2015 12:04:22 PM,,,,,1,SN05,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,01/08/2015,1/28/2015 12:04:22 PM,,,,,1,SN05,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/23/2015 11:35:31 PM,03/02/2015,,,,,2,SN05,Incoming Weight,Pass,15,30,30,30,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/23/2015 11:35:31 PM,03/02/2015,,,,,2,SN05,Post Strip Weight,Pass,15,19.2,19.2,19.2,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/23/2015 11:35:31 PM,03/02/2015,,,,,2,SN05,CDI - Flatness,Pass,0,0.001,0.001,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/23/2015 11:35:31 PM,03/02/2015,,,,,2,SN05,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6326,17.6326,17.6326,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/23/2015 11:35:31 PM,03/02/2015,,,,,2,SN05,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3449,0.3449,0.3449,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/23/2015 11:35:31 PM,03/02/2015,,,,,2,SN05,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1349,0.1349,0.1349,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/23/2015 11:35:31 PM,03/02/2015,,,,,2,SN05,CDI - Miscellaneous- Distance,Pass,0.572,0.5821,0.5821,0.5821,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/23/2015 11:35:31 PM,03/02/2015,,,,,2,SN05,Surface Roughness- Post Blast,Pass,200,211,272,242.75,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/23/2015 11:35:31 PM,03/02/2015,,,,,2,SN05,Inner Honey Comb Ra (L1 - L6),Pass,0,75.4,143.2,104.3833333,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/23/2015 11:35:31 PM,03/02/2015,,,,,2,SN05,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,2/23/2015 11:35:31 PM,03/02/2015,,,,,2,SN05,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/11/2015,4/16/2015 3:34:39 PM,,,,,3,SN05,Incoming Weight,Pass,15,32,32,32,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/11/2015,4/16/2015 3:34:39 PM,,,,,3,SN05,Post Strip Weight,Pass,15,19.6,19.6,19.6,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/11/2015,4/16/2015 3:34:39 PM,,,,,3,SN05,CDI - Flatness,Pass,0,0.0009,0.0009,0.0009,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/11/2015,4/16/2015 3:34:39 PM,,,,,3,SN05,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6322,17.6322,17.6322,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/11/2015,4/16/2015 3:34:39 PM,,,,,3,SN05,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3444,0.3444,0.3444,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/11/2015,4/16/2015 3:34:39 PM,,,,,3,SN05,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1351,0.1351,0.1351,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/11/2015,4/16/2015 3:34:39 PM,,,,,3,SN05,CDI - Miscellaneous- Distance,Pass,0.572,0.5832,0.5832,0.5832,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/11/2015,4/16/2015 3:34:39 PM,,,,,3,SN05,Surface Roughness- Post Blast,Pass,200,255,297,273.25,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/11/2015,4/16/2015 3:34:39 PM,,,,,3,SN05,Inner Honey Comb Ra (L1 - L6),Pass,0,101,121,110.3333333,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/11/2015,4/16/2015 3:34:39 PM,,,,,3,SN05,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,04/11/2015,4/16/2015 3:34:39 PM,,,,,3,SN05,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/01/2015,08/10/2015,,,,,4,SN05,Incoming Weight,Pass,15,31.2,31.2,31.2,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/01/2015,08/10/2015,,,,,4,SN05,Post Strip Weight,Pass,15,19.6,19.6,19.6,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/01/2015,08/10/2015,,,,,4,SN05,CDI - Flatness,Pass,0,0.0011,0.0011,0.0011,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/01/2015,08/10/2015,,,,,4,SN05,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6329,17.6329,17.6329,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/01/2015,08/10/2015,,,,,4,SN05,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3439,0.3439,0.3439,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/01/2015,08/10/2015,,,,,4,SN05,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1349,0.1349,0.1349,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/01/2015,08/10/2015,,,,,4,SN05,CDI - Miscellaneous- Distance,Pass,0.572,0.5838,0.5838,0.5838,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/01/2015,08/10/2015,,,,,4,SN05,Surface Roughness- Post Blast,Pass,200,248,267.9,257.75,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/01/2015,08/10/2015,,,,,4,SN05,Inner Honey Comb Ra (L1 - L6),Pass,0,86.4,133.2,111.1666667,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/01/2015,08/10/2015,,,,,4,SN05,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,08/01/2015,08/10/2015,,,,,4,SN05,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/16/2015 2:03:18 PM,,,,,5,SN05,Incoming Weight,Pass,15,30,30,30,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/16/2015 2:03:18 PM,,,,,5,SN05,Post Strip Weight,Pass,15,19.4,19.4,19.4,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/16/2015 2:03:18 PM,,,,,5,SN05,CDI - Flatness,Pass,0,0.0008,0.0008,0.0008,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/16/2015 2:03:18 PM,,,,,5,SN05,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6339,17.6339,17.6339,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/16/2015 2:03:18 PM,,,,,5,SN05,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3437,0.3437,0.3437,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/16/2015 2:03:18 PM,,,,,5,SN05,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1347,0.1347,0.1347,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/16/2015 2:03:18 PM,,,,,5,SN05,CDI - Miscellaneous- Distance,Pass,0.572,0.5836,0.5836,0.5836,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/16/2015 2:03:18 PM,,,,,5,SN05,Surface Roughness- Post Blast,Pass,200,254.7,269.3,261.075,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/16/2015 2:03:18 PM,,,,,5,SN05,Inner Honey Comb Ra (L1 - L6),Pass,0,239.7,390.1,328.8166667,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/16/2015 2:03:18 PM,,,,,5,SN05,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,09/04/2015,9/16/2015 2:03:18 PM,,,,,5,SN05,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/15/2015 3:16:55 AM,10/26/2015 1:11:30 PM,,,,,9,SN05,Incoming Weight,Pass,15,28.8,28.8,28.8,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/15/2015 3:16:55 AM,10/26/2015 1:11:30 PM,,,,,6,SN05,Post Strip Weight,Pass,15,19.4,19.4,19.4,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/15/2015 3:16:55 AM,10/26/2015 1:11:30 PM,,,,,6,SN05,CDI - Flatness,Pass,0,0.001,0.001,0.001,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/15/2015 3:16:55 AM,10/26/2015 1:11:30 PM,,,,,6,SN05,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.6346,17.6346,17.6346,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/15/2015 3:16:55 AM,10/26/2015 1:11:30 PM,,,,,6,SN05,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3429,0.3429,0.3429,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/15/2015 3:16:55 AM,10/26/2015 1:11:30 PM,,,,,6,SN05,CDI - Avg Wall Cell Thickness,Pass,0.126,0.134,0.134,0.134,0.141,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/15/2015 3:16:55 AM,10/26/2015 1:11:30 PM,,,,,6,SN05,CDI - Miscellaneous- Distance,Pass,0.572,0.5839,0.5839,0.5839,0.592,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/15/2015 3:16:55 AM,10/26/2015 1:11:30 PM,,,,,6,SN05,Surface Roughness- Post Blast,Pass,200,231.8,271.8,251.625,300,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/15/2015 3:16:55 AM,10/26/2015 1:11:30 PM,,,,,6,SN05,Inner Honey Comb Ra (L1 - L6),Pass,0,86.7,140.1,116.8166667,1000,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/15/2015 3:16:55 AM,10/26/2015 1:11:30 PM,,,,,6,SN05,"UV Inspection 1=Pass, 0=Fail",Pass,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,10/15/2015 3:16:55 AM,10/26/2015 1:11:30 PM,,,,,6,SN05,Particle Values ( <1.0 p/cm2 at 0.3um),Pass,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/12/2015,11/18/2015 12:27:18 PM,,,,,7,SN05,Incoming Weight,Pass,15,25,25,25,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/12/2015,11/18/2015 12:27:18 PM,,,,,7,SN05,Post Strip Weight,Pass,15,19,19,19,50,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/12/2015,11/18/2015 12:27:18 PM,,,,,7,SN05,CDI - Flatness,Pass,0,0.002,0.002,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/12/2015,11/18/2015 12:27:18 PM,,,,,7,SN05,CDI - Diameter (Inner)- Post Strip,Pass,17.608,17.634,17.634,17.634,17.656,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/12/2015,11/18/2015 12:27:18 PM,,,,,7,SN05,CDI - Upper Lip Radial Thickness,Pass,0.326,0.3428,0.3428,0.3428,0.364,,,,,,,,,,,,,,,,,,,,,,
Location 1,,,Part 1,,,,,11/12/2015,11/18/2015 12:27:18 PM,,,,,7,SN05,CDI - Avg Wall Cell Thickness,Pass,0.126,0.1343,0.1343,0.1343,0.141,,,,,,,,,,,,,,,,,,,,,,
